Time,From,To,Amount
09/17/2013 03:28:00 PM,193UDHhWVghME3sKHrGuETfCWuovMnuhzk 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1BLWBR4RzdLuysUnvimqQmjkHvSEgiQkzw 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/18/2013 01:22:00 AM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 13YXBxFcqpBhqvVx9v62TnAcQt5GXxZDzs 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/18/2013 07:21:00 AM,1MBMN69ha9EW57R3HQAc7eSmzPvM1ay2RR 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/18/2013 07:20:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14iEr2AmxanhGKH916KxcFNp2PUu5BpV5A,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/19/2013 01:07:00 AM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1MAVZfxTaox6HZ6rYgdQj4b2nLaYDHZ4Dm 1JyWTJrPaHCUAvNCRAQ7wVcTphw9X2buft 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 15ApCFTXKe2dco3GBZxbeDVXLC12Jzo2z2,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/19/2013 06:13:00 AM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/19/2013 09:07:00 AM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1AqE2hUZ4fmA8tmwb6C2zdvvbfwh9AQzvQ,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/19/2013 11:18:00 AM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/19/2013 02:16:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1DjvetLZ8Z2ajRxmLrpKYgHWxNxHut42oU,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/19/2013 06:10:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/19/2013 08:09:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
